trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.05}",35,0,-16.211629189507114,"{0: 31, 1: 0, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.0}",30,0,-8.979119223992765,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.1, 'e': -0.05}",25,0,-107.74646942008185,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': -0.1}",30,0,-36.37093790461749,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': -0.15000000000000002}",25,0,25.58892000322065,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': -0.2}",20,0,-29.067940120526,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': -0.25}",20,0,-25.802941184220735,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': -0.3}",25,0,-6.010158289844378,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': -0.35}",30,0,9.59298137856033,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': -0.39999999999999997}",30,0,-41.45802502180198,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': -0.44999999999999996}",25,0,14.428349057896558,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': -0.49999999999999994}",20,0,8.444991764120928,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.1, 'e': -0.5499999999999999}",20,0,16.529587126890135,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': -0.6}",20,0,-20.965112642405924,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.1, 'e': -0.65}",20,0,-20.174135562484672,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': -0.7000000000000001}",20,0,10.89967684107358,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': -0.7500000000000001}",20,0,17.232097791611853,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': -0.8000000000000002}",25,0,-8.446281491573833,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': -0.8500000000000002}",30,0,-20.885434121243588,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': -0.9000000000000002}",30,0,-36.93884070583142,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,39.681685061438436,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,15.06958939349773,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,14.265809993474965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-53.2476025986163,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,27.838643736094923,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,16.586894194396645,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,23.813215911523688,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-3.437052302222309,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,20.982506596099448,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,17.813059768883903,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
