trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-122.953921765799,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",35,0,-149.31759591664422,"{0: 20, 1: 4, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-47.17160969108047,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",35,0,-230.66062792253484,"{0: 19, 1: 3, 2: 8, 3: 2, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-68.95174387167214,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-178.22716009802625,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-152.8211607792065,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-201.25677515168726,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,1,-51.100280215500845,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",30,0,-238.859164929494,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 5}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-73.12548554327523,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-103.3981733641878,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-131.18174838757835,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-135.90029096311238,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,0,-157.0084099386969,"{0: 20, 1: 5, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-73.15469894573042,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-151.87268210723215,"{0: 18, 1: 0, 2: 9, 3: 2, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-216.39541996435247,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,18,-103.47542934192835,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-211.23946210003623,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-171.1811746828726,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,2,-159.365267070477,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 2}",1
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-36.566190182582325,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
