trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.11731724951565,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.84737976476353,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.23221274102181,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.1301331239903,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.7024338576444,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,1,-33.36449237004234,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.19892925987624,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-241.5622297146898,"{0: 19, 1: 4, 2: 6, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-215.49308674304007,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.27227733210562,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.10313804933432,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.5303267472151,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-196.83752348080753,"{0: 16, 1: 6, 2: 10, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.3693607994306,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.21730468013635,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.30704144030553,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.97756957290392,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.41817500731716,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.73073882925641,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.17289018833614,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.82461597818758,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.85294613912895,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.67736463086605,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.3250204951301,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-194.72577976115392,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 4}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,3,-56.25755824611172,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-41.02354622886468,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.32015075702104,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-257.8401637603431,"{0: 13, 1: 6, 2: 6, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-81.94476595499268,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
